Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3054444,4/10/19 12:26:36,0.000,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.221,µmol/L,27.450,¡C,1018.000,hPa,Humid,34,0
3054454,4/10/19 12:26:40,0.055,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.212,µmol/L,27.446,¡C,1018.000,hPa,Humid,34,0
3054464,4/10/19 12:26:43,0.106,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.195,µmol/L,27.437,¡C,1018.000,hPa,Humid,34,0
3054474,4/10/19 12:26:46,0.155,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.235,µmol/L,27.424,¡C,1018.000,hPa,Humid,34,0
3054484,4/10/19 12:26:49,0.205,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.266,µmol/L,27.431,¡C,1018.000,hPa,Humid,34,0
3054494,4/10/19 12:26:52,0.255,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.196,µmol/L,27.440,¡C,1018.000,hPa,Humid,34,0
3054504,4/10/19 12:26:55,0.305,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.238,µmol/L,27.437,¡C,1018.000,hPa,Humid,34,0
3054514,4/10/19 12:26:58,0.355,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.200,µmol/L,27.435,¡C,1018.000,hPa,Humid,34,0
3054524,4/10/19 12:27:01,0.405,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.232,µmol/L,27.443,¡C,1018.000,hPa,Humid,34,0
3054534,4/10/19 12:27:04,0.456,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),4/10/19 11:14:21,default,100.278,µmol/L,27.428,¡C,1018.000,hPa,Humid,34,0
