ITS2 type profile UID		6	7	8	9
Clade		C	C	C	D
Majority ITS2 sequence		C31/C17d	C31	C31	D1
Associated species		None	None	None	S. glynnii,S. trenchii
ITS2 profile abundance local		16	6	6	23
ITS2 profile abundance DB		16	6	6	23
ITS2 type profile		C31/C17d-C21-C21ac	C31-C17d-C21-C31.1-C31a-C17e	C31-C17d-C31.1-C21-C31a-1373	D1-D4-D6-D1ab
223	WSH124	0	0	0	10426.0
208	WSH089	0	0	0	19463.0
214	WSH093	0	0	0	18843.0
224	WSH090	0	0	0	17130.0
188	WSH095	0	0	0	14704.0
200	WSH103	0	0	0	14777.0
207	WSH111	0	0	0	15956.0
187	WSH125	0	0	0	39660.0
211	WSH126	0	0	0	19778.0
192	WSH091	0	0	0	13038.0
212	WSH106	0	0	0	12837.0
199	WSH120	402.0	0	0	9796.0
195	WSH118	0	1231.0	0	12259.0
220	WSH096	1650.0	0	0	14480.0
210	WSH088	0	1574.0	0	13487.0
219	WSH114	2405.0	0	0	14831.0
191	WSH128	30898.0	0	0	57018.0
196	WSH087	0	6839.0	0	11152.0
202	WSH092	13664.0	0	0	0
204	WSH107	12702.0	0	0	0
201	WSH112	11504.0	0	0	0
222	WSH108	12665.0	0	0	0
221	WSH113	5082.0	0	0	0
197	WSH110	12661.0	0	0	0
198	WSH104	11235.0	0	0	0
203	WSH115	8985.0	0	0	0
213	WSH109	10083.0	0	0	0
216	WSH094	16820.0	0	0	0
186	WSH086	15368.0	0	0	4077.0
185	WSH117	9176.0	0	0	9657.0
217	WSH121	0	18531.0	0	0
190	WSH102	0	11800.0	0	0
189	WSH127	0	38743.0	0	0
193	WSH116	0	0	14083.0	0
194	WSH085	0	0	15994.0	0
209	WSH119	0	0	10630.0	0
218	WSH101	0	0	13245.0	3252.0
205	WSH122	0	0	11914.0	4806.0
206	WSH105	0	0	11711.0	11519.0
215	WSH123	0	0	0	0
Sequence accession / SymPortal UID		848/1158-18-1156	848-1158-18-850-1143-1146	848-1158-850-18-1143-1373	347-57-68-985
Average defining sequence proportions and [stdev]		0.490[0.087]/0.323[0.099]-0.134[0.034]-0.053[0.018]	0.539[0.085]-0.198[0.062]-0.094[0.062]-0.065[0.030]-0.056[0.005]-0.047[0.014]	0.594[0.042]-0.151[0.037]-0.089[0.012]-0.072[0.024]-0.053[0.011]-0.040[0.013]	0.428[0.013]-0.345[0.011]-0.173[0.010]-0.054[0.007]
