ITS2 type profile UID		6	7	8	9
Clade		C	C	C	D
Majority ITS2 sequence		C31/C17d	C31	C31	D1
Associated species		None	None	None	S. glynnii,S. trenchii
ITS2 profile abundance local		16	6	6	23
ITS2 profile abundance DB		16	6	6	23
ITS2 type profile		C31/C17d-C21-C21ac	C31-C17d-C21-C31.1-C31a-C17e	C31-C17d-C31.1-C21-C31a-1373	D1-D4-D6-D1ab
223	WSH124	0	0	0	0.9550242740679674
208	WSH089	0	0	0	0.9518290297339593
214	WSH093	0	0	0	0.9503227758725036
224	WSH090	0	0	0	0.950188595518083
188	WSH095	0	0	0	0.9499935392169532
200	WSH103	0	0	0	0.9494955985349869
207	WSH111	0	0	0	0.9472809308952743
187	WSH125	0	0	0	0.947262826024649
211	WSH126	0	0	0	0.9469954512808236
192	WSH091	0	0	0	0.9466347201045523
212	WSH106	0	0	0	0.9443136677946152
199	WSH120	0.03688073394495413	0	0	0.8987155963302753
195	WSH118	0	0.0832713251708043	0	0.8292633430291552
220	WSH096	0.09375	0	0	0.8227272727272728
210	WSH088	0	0.09488787074993972	0	0.8130576320231493
219	WSH114	0.12499350345616132	0	0	0.7708019333714464
191	WSH128	0.28242886262465605	0	0	0.52118353579949
196	WSH087	0	0.2978139696916913	0	0.48562968124020206
202	WSH092	0.7577219541950868	0	0	0
204	WSH107	0.7515531625347612	0	0	0
201	WSH112	0.7492022142624553	0	0	0
222	WSH108	0.7227231225747547	0	0	0
221	WSH113	0.7197280838408157	0	0	0
197	WSH110	0.7055840392331698	0	0	0
198	WSH104	0.7035065748278022	0	0	0
203	WSH115	0.6874521805661821	0	0	0
213	WSH109	0.6801807879114948	0	0	0
216	WSH094	0.6753935110825571	0	0	0
186	WSH086	0.552765988058413	0	0	0.14664412632184734
185	WSH117	0.37197989297875783	0	0	0.3914788389816766
217	WSH121	0	0.859907192575406	0	0
190	WSH102	0	0.8058457966263745	0	0
189	WSH127	0	0.7932799606871558	0	0
193	WSH116	0	0	0.8238081310324656	0
194	WSH085	0	0	0.8159371492704826	0
209	WSH119	0	0	0.7617341454675743	0
218	WSH101	0	0	0.6737714925221284	0.1654288330450707
205	WSH122	0	0	0.5799824749294129	0.23395969233764968
206	WSH105	0	0	0.42999816412704234	0.4229484119698917
215	WSH123	0	0	0	0
Sequence accession / SymPortal UID		848/1158-18-1156	848-1158-18-850-1143-1146	848-1158-850-18-1143-1373	347-57-68-985
Average defining sequence proportions and [stdev]		0.490[0.087]/0.323[0.099]-0.134[0.034]-0.053[0.018]	0.539[0.085]-0.198[0.062]-0.094[0.062]-0.065[0.030]-0.056[0.005]-0.047[0.014]	0.594[0.042]-0.151[0.037]-0.089[0.012]-0.072[0.024]-0.053[0.011]-0.040[0.013]	0.428[0.013]-0.345[0.011]-0.173[0.010]-0.054[0.007]
