Current Date: 14-Nov-2020,,,,,,,,,,,,,
Instrument Serial Number: 8470050168,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,
Version Number: 3.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,,,,
 A01, A01, 11.14.2020,65.61314791,4199.361779,37.29456384,2386.920472,34.26042984,65.73957016,4207.453035,,,,
 A02, A02, 11.14.2020,65.32644781,14361.55399,37.84581335,8320.132353,34.19402435,65.80597565,14466.97477,,sample,average(1:3),average*3(dilution)
 A03, A03, 11.14.2020,63.1,31084.12944,39.52,19468.2218,37,63,31034.86775,,44.8/27,7480.101297,22440.30389
 A04, A04, 11.14.2020,57.73324984,7463.066086,34.75266124,4492.409629,42.26675016,57.73324984,7463.066086,,239.9/27,27639.86244,82919.58733
 A05, A05, 11.14.2020,75.54,101904.3387,29.76,40146.58616,24.56,75.44,101769.4375,,229.8/27,130218.7798,390656.3393
 A06, A06, 11.14.2020,69.4,76820.97903,36.96,40912.15252,30.78,69.22,76621.73153,,46.8/27,167748.8447,503246.534
 A07, A07, 11.14.2020,85.64,556508.9951,40.94,266037.8125,14.4,85.6,556249.0656,,203.8/27,110494.5007,331483.5021
 A08, A08, 11.14.2020,82.35791253,31567.29634,48.82738221,18715.24419,17.8744982,82.1255018,31478.21469,,243.8/27,33315.1,99945.3
 A09, A09, 11.14.2020,80.74,470862.5863,50.04,291825.165,19.4,80.6,470046.129,,20.8/27,206698.3813,620095.144
 B01, B01, 11.14.2020,34.7242921,1890.151062,20.86438152,1135.713085,65.72280179,34.27719821,1865.814353,,11.8/27,17679.90834,53039.72503
 B02, B02, 11.14.2020,72.28,46957.11464,44.46,28883.69282,27.92,72.08,46827.18349,,240.8/27,254892.9212,764678.7636
 B03, B03, 11.14.2020,72.42,333670.4359,46.1,212402.7492,27.72,72.28,333025.395,,,,
 B04, B04, 11.14.2020,77.54,495435.2725,46.04,294168.6864,22.54,77.46,494924.1192,,,,
 B05, B05, 11.14.2020,71.7,229303.9638,37.66,120440.5478,28.36,71.64,229112.0776,,,,
 B06, B06, 11.14.2020,67.78042959,23027.25739,36.68257757,12462.28683,32.3627685,67.6372315,22978.60825,,,,
 B07, B07, 11.14.2020,79.97987928,32187.70523,39.31589537,15822.58516,20.06036217,79.93963783,32171.51016,,,,
 B08, B08, 11.14.2020,73.63291825,11012.83226,44.45046021,6648.187711,26.52950731,73.47049269,10988.53925,,,,
 B09, B09, 11.14.2020,77.54,292974.7892,44.56,168364.1553,22.68,77.32,292143.5478,,,,
 C01, C01, 11.14.2020,74.64008859,16350.79105,44.81358435,9816.943785,25.43373939,74.56626061,16334.61816,,,,
 C02, C02, 11.14.2020,67.08605939,21600.9187,40.76497232,13125.83957,32.96426774,67.03573226,21584.71396,,,,
 C03, C03, 11.14.2020,64.48617,25901.774,42.62063396,17119.17499,35.61477892,64.38522108,25861.22645,,,,
 C04, C04, 11.14.2020,22.51308901,348.1953888,12.04188482,186.2440452,76.96335079,23.03664921,356.292956,,,,
 C05, C05, 11.14.2020,33.33333333,275.1996124,18.62745098,153.7880187,63.7254902,36.2745098,299.4819311,,,,
 C06, C06, 11.14.2020,12.24489796,97.06358846,11.2244898,88.97495608,85.71428571,14.28571429,113.2408532,,,,
 C07, C07, 11.14.2020,81.23823468,31398.44368,50.42878059,19490.6405,18.84542983,81.15457017,31366.10748,,,,
 C08, C08, 11.14.2020,75.18928363,10459.59643,46.59289458,6481.546972,24.98543972,75.01456028,10435.29062,,,,
 C09, C09, 11.14.2020,43.33333333,841.3880513,29.58333333,574.4091504,55.41666667,44.58333333,865.6588605,,,,
