sample_name,host_subject_id,method,filename1,filename2
16_RNASeq,16,RNASeq,16_S121_L003_R1_001.fastq.gz,16_S121_L003_R2_001.fastq.gz
17_RNASeq,17,RNASeq,17_S122_L003_R1_001.fastq.gz,17_S122_L003_R2_001.fastq.gz
2_RNASeq,2,RNASeq,2_S118_L003_R1_001.fastq.gz,2_S118_L003_R2_001.fastq.gz
21_RNASeq,21,RNASeq,21_S123_L003_R1_001.fastq.gz,21_S123_L003_R2_001.fastq.gz
22_RNASeq,22,RNASeq,22_S124_L003_R1_001.fastq.gz,22_S124_L003_R2_001.fastq.gz
23_RNASeq,23,RNASeq,23_S125_L003_R1_001.fastq.gz,23_S125_L003_R2_001.fastq.gz
24_RNASeq,24,RNASeq,24_S126_L003_R1_001.fastq.gz,24_S126_L003_R2_001.fastq.gz
25_RNASeq,25,RNASeq,25_S127_L003_R1_001.fastq.gz,25_S127_L003_R2_001.fastq.gz
26_RNASeq,26,RNASeq,26_S128_L003_R1_001.fastq.gz,26_S128_L003_R2_001.fastq.gz
28_RNASeq,28,RNASeq,28_S129_L003_R1_001.fastq.gz,28_S129_L003_R2_001.fastq.gz
29_RNASeq,29,RNASeq,29_S130_L003_R1_001.fastq.gz,29_S130_L003_R2_001.fastq.gz
30_RNASeq,30,RNASeq,30_S131_L003_R1_001.fastq.gz,30_S131_L003_R2_001.fastq.gz
31_RNASeq,31,RNASeq,31_S132_L003_R1_001.fastq.gz,31_S132_L003_R2_001.fastq.gz
33_RNASeq,33,RNASeq,33_S133_L003_R1_001.fastq.gz,33_S133_L003_R2_001.fastq.gz
37_RNASeq,37,RNASeq,37_S134_L003_R1_001.fastq.gz,37_S134_L003_R2_001.fastq.gz
39_RNASeq,39,RNASeq,39_S135_L003_R1_001.fastq.gz,39_S135_L003_R2_001.fastq.gz
4_RNASeq,4,RNASeq,4_S119_L003_R1_001.fastq.gz,4_S119_L003_R2_001.fastq.gz
42_RNASeq,42,RNASeq,42_S136_L003_R1_001.fastq.gz,42_S136_L003_R2_001.fastq.gz
43_RNASeq,43,RNASeq,43_S137_L003_R1_001.fastq.gz,43_S137_L003_R2_001.fastq.gz
45_RNASeq,45,RNASeq,45_S138_L003_R1_001.fastq.gz,45_S138_L003_R2_001.fastq.gz
46_RNASeq,46,RNASeq,46_S139_L003_R1_001.fastq.gz,46_S139_L003_R2_001.fastq.gz
47_RNASeq,47,RNASeq,47_S140_L003_R1_001.fastq.gz,47_S140_L003_R2_001.fastq.gz
50_RNASeq,50,RNASeq,50_S141_L003_R1_001.fastq.gz,50_S141_L003_R2_001.fastq.gz
51_RNASeq,51,RNASeq,51_S142_L003_R1_001.fastq.gz,51_S142_L003_R2_001.fastq.gz
52_RNASeq,52,RNASeq,52_S143_L003_R1_001.fastq.gz,52_S143_L003_R2_001.fastq.gz
54_RNASeq,54,RNASeq,54_S144_L003_R1_001.fastq.gz,54_S144_L003_R2_001.fastq.gz
55_RNASeq,55,RNASeq,55_S145_L003_R1_001.fastq.gz,55_S145_L003_R2_001.fastq.gz
56_RNASeq,56,RNASeq,56_S146_L003_R1_001.fastq.gz,56_S146_L003_R2_001.fastq.gz
57_RNASeq,57,RNASeq,57_S147_L003_R1_001.fastq.gz,57_S147_L003_R2_001.fastq.gz
59_RNASeq,59,RNASeq,59_S148_L003_R1_001.fastq.gz,59_S148_L003_R2_001.fastq.gz
6_RNASeq,6,RNASeq,6_S120_L003_R1_001.fastq.gz,6_S120_L003_R2_001.fastq.gz
60_RNASeq,60,RNASeq,60_S149_L003_R1_001.fastq.gz,60_S149_L003_R2_001.fastq.gz
61_RNASeq,61,RNASeq,61_S150_L003_R1_001.fastq.gz,61_S150_L003_R2_001.fastq.gz
62_RNASeq,62,RNASeq,62_S151_L003_R1_001.fastq.gz,62_S151_L003_R2_001.fastq.gz
63_RNASeq,63,RNASeq,63_S152_L003_R1_001.fastq.gz,63_S152_L003_R2_001.fastq.gz
64_RNASeq,64,RNASeq,64_S153_L003_R1_001.fastq.gz,64_S153_L003_R2_001.fastq.gz
65_RNASeq,65,RNASeq,65_S154_L003_R1_001.fastq.gz,65_S154_L003_R2_001.fastq.gz
66_RNASeq,66,RNASeq,66_S155_L003_R1_001.fastq.gz,66_S155_L003_R2_001.fastq.gz
67_RNASeq,67,RNASeq,67_S156_L003_R1_001.fastq.gz,67_S156_L003_R2_001.fastq.gz
68_RNASeq,68,RNASeq,68_S157_L003_R1_001.fastq.gz,68_S157_L003_R2_001.fastq.gz
