Well,Chl:630
A1,0.034
B1,0.059
C1,0.037
D1,0.042
E1,0.052
F1,0.056
G1,0.051
H1,0.028
A2,0.04
B2,0.063
C2,0.043
D2,0.043
E2,0.054
F2,0.055
G2,0.055
H2,0.031
A3,0.048
B3,0.06
C3,0.053
D3,0.059
E3,0.047
F3,0.047
G3,0.066
H3,0.03
A4,0.057
B4,0.064
C4,0.056
D4,0.065
E4,0.051
F4,0.039
G4,0.07
H4,0.028
A5,0.052
B5,0.053
C5,0.06
D5,0.046
E5,0.053
F5,0.049
G5,0.029
H5,0.029
A6,0.055
B6,0.058
C6,0.064
D6,0.049
E6,0.058
F6,0.052
G6,0.029
H6,0.029
A7,0.042
B7,0.043
C7,0.055
D7,0.06
E7,0.092
F7,0.035
G7,0.029
H7,0.029
A8,0.046
B8,0.044
C8,0.06
D8,0.065
E8,0.103
F8,0.037
G8,0.031
H8,0.028
A9,0.061
B9,0.049
C9,0.034
D9,0.053
E9,0.072
F9,0.048
G9,0.029
H9,0.028
A10,0.06
B10,0.052
C10,0.036
D10,0.057
E10,0.08
F10,0.051
G10,0.028
H10,0.029
A11,0.043
B11,0.035
C11,0.061
D11,0.069
E11,0.058
F11,0.046
G11,0.031
H11,0.028
A12,0.046
B12,0.04
C12,0.065
D12,0.075
E12,0.062
F12,0.047
G12,0.03
H12,0.029
