Date,Biopsy,Fragment,Transect,ColonyImage,Syringe,Water,Halo,PAM,Resp,Syms,Prot,Chl,SA,AFDW,TAC
7/19/19,40,40,4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/16/19,40,40,4,40,20,NA,NA,40,40,40,40,40,40,40,40
10/2/19,40,40,4,40,20,20,20,40,40,40,40,40,40,40,40
10/16/19,40,40,4,40,20,NA,20,40,40,40,40,40,40,40,40
10/30/19,40,40,4,40,30,20,20,40,40,40,40,40,40,40,40
12/4/19,40,NA,4,40,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/24/20,NA,NA,NA,40,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/20,38,38,NA,38,NA,NA,NA,38,38,38,38,38,38,NA,NA
10/8/20,38,38,4,38,NA,NA,NA,38,38,NA,NA,NA,NA,NA,NA
11/5/20,38,38,4,38,NA,NA,NA,38,38,NA,NA,NA,NA,NA,NA
12/10/20,38,38,4,38,NA,NA,NA,38,38,NA,NA,NA,NA,NA,NA
